
1214-3006-02, 컴퓨터네트워크, 공5102, 15:00, 17:00, 월요일
1214-3006-02, 컴퓨터네트워크,공5416, 14:00, 16:00, 수요일
1214-3025-00, 공개소프트웨어실습, 공5410, 18:00, 22:00, 금요일
1214-3032-01, 기계학습, 공5415, 13:00, 15:00, 월요일
1214-3032-01, 기계학습, 공5405, 10:00, 12:00, 수요일
1215-3005-01, 컴파일러개론, 공5102, 15:00, 17:00, 화요일
1215-3005-01, 컴파일러개론, 공5416, 11:00, 13:00, 금요일
1301-7001-00, 음악의 이해, 교307, 15:00, 18:00, 금요일
1214-3005-00, 컴퓨터그래픽스, 공5415, 17:00, 19:00, 월요일
1214-3005-00, 컴퓨터그래픽스, 공5412, 10:00, 12:00, 목요일
1214-3007-01, 소프트웨어공학, 공5410, 15:00, 17:00, 화요일
1214-3007-01, 소프트웨어공학, 공5410, 11:00, 13:00, 금요일
1214-3019-00, 디지털시스템설계, 공5405, 16:00, 18:00, 수요일
1214-3019-00, 디지털시스템설계, 공5415, 14:00, 16:00, 금요일
1214-2013-00, 웹프로그래밍, 공5416, 14:00, 16:00, 수요일
1214-2013-00, 웹프로그래밍, 공5404, 14:00, 16:00, 금요일
1214-2021-01, 수치프로그래밍, 공5413, 17:00, 19:00, 월요일
1214-2021-01, 수치프로그래밍, 공5410, 16:00, 18:00, 수요일
1214-4005-00, 정보보호, 공5405, 13:00, 14:00, 수요일
1214-4005-00, 정보보호, 공5414, 13:00, 15:00, 목요일
1214-1003-01, 선형대수, 공5405, 10:00, 11:00, 월요일
1214-1003-01, 선형대수, 공5405, 10:00, 12:00, 화요일
1215-1002-02, 어드벤처디자인, 공5405, 19:00, 22:00, 수요일
1215-1002-02, 어드벤처디자인, 공5405, 13:00, 16:00, 목요일
1214-2004-01, 객체지향설계, 공5411, 13:00, 15:00, 목요일
1214-2004-01, 객체지향설계, 공5411, 09:00, 11:00, 금요일
1215-2004-01, 기초프로젝트랩, 공5411, 19:00, 22:00, 월요일
1214-2004-01, 기초프로젝트랩, 공5411, 18:00, 21:00, 화요일
1214-2003-01, 컴퓨터구조, 공5411, 10:00, 11:00, 월요일
1214-2003-01, 컴퓨터구조, 공5411, 10:00, 12:00, 화요일
